Task_ID,Epic,User_Story,Description,Task_Description,Detailed_Prompt,Priority,Story_Points,Assignee,Status,Sprint,Notes
F-011,Blockchain & Wallet Evolution,Mock ERC-721 “Donation Certificate” NFT minted on successful donation (Anvil only),Optional NFT certificate mint after donation on Anvil for demo flair.,Simple ERC-721 contract deploy in Foundry + mint on /donate success (optional for wow factor),Sukhan: minimal ERC721 in Foundry; deploy script; store CONTRACT_ADDRESS in env. Tasin: after donate success optionally call mint to donor address (feature flag). Gas and error handling; skip if contract missing.,Could,8,Sukhan,To Do,,Blockchain only
F-012,Blockchain & Wallet Evolution,Recurring donation simulation (monthly “auto-send” via backend cron),Simulated recurring donations for demo (not real billing).,Cron job in backend to simulate recurring sends + UI toggle for demo users,Tasin: node-cron or setInterval in dev only: read user prefs from new table recurring_donation; call internal donate logic with caps and logging. Haha: toggle UI with clear DEMO label. Never charge real cards.,Could,5,Tasin,To Do,,Backend cron + Sukhan chain call
F-013,Polish & Accessibility,"Full a11y audit + ARIA labels, keyboard nav, high-contrast mode","WCAG-oriented improvements: focus, labels, contrast mode.","Run axe-core audit, add aria labels, focus management, high-contrast Tailwind theme","Run axe in CI or locally. Fix critical issues: button labels, form errors announced, skip link, modal focus trap. Add data-theme high-contrast variant in CSS variables. Document keyboard map in README.",Must,5,Haha,To Do,,Frontend only
F-014,Polish & Accessibility,i18n support (English + one extra language) with locale switcher,English + one locale (e.g. Spanish) for main nav and forms.,react-i18next setup + language toggle in navbar (Spanish as example),"Set up react-i18next; extract strings from Layout, Login, Register, Causes. Add language switcher persisting to localStorage. Provide es.json partial coverage acceptable if documented.",Could,5,Haha,To Do,,Frontend
F-015,Polish & Accessibility,Rate limiting + basic security headers on all endpoints,API hardening: security headers and rate limits.,helmet + express-rate-limit middleware on API Gateway,Add helmet with sensible defaults for Express 5; express-rate-limit global + stricter on /api/auth/login. Do not break Vite proxy cookie credentials. Document limits in README.,Must,3,Tasin,To Do,,Backend security
M-001,Microservices Refactor,Extract Auth Service (login/register/me + session logic),Auth becomes a deployable service behind gateway (large refactor).,Create services/auth/ with its own SQLite + Express; API Gateway routes /auth/* to it,ADR first: session strategy across services (JWT vs shared cookie domain). Extract auth routes + users auth table or keep shared DB with clear boundaries. Sukhan owns folder layout + docker-compose service auth:3001. Migrate incrementally; keep monolith branch until parity.,Must,13,Sukhan,To Do,,DevOps + Data migration
M-002,Microservices Refactor,"Extract Users Service (profiles, anvil indices, balances)",User profile and wallet index service split.,"Separate users table logic + /users, /balance endpoints",Move /users /balance /me fields to users-service; gateway proxies; shared schema migration plan; Tasin coordinates API compatibility with Haha.,Must,8,Sukhan,To Do,,Data + Blockchain
M-003,Microservices Refactor,Extract Causes Service + raised_eth tracking,Causes microservice owns causes table and raised_eth updates.,New service for causes CRUD and incremental updates,Tasin: extract causes routes; publish donation events for ledger service; document sync for raised_eth.,Must,5,Tasin,To Do,,Backend
M-004,Microservices Refactor,Extract Ledger/Transactions Service + public ledger API,Ledger as dedicated service with event consumption.,Ledger becomes its own bounded context with event publishing,Sukhan: ledger-service subscribes to donation.created; exposes GET /ledger; idempotent writes; migration of ledger_entries table.,Must,8,Sukhan,To Do,,Data
M-005,Microservices Refactor,"Extract Blockchain Service (Anvil watcher, wallet ops)",Blockchain ops and watcher isolated.,Move anvil.ts + watcher.ts into dedicated service with Redis pub/sub for events,Sukhan: move watcher + anvil helpers to service; HTTP or Redis commands from API for sendTransaction; secure signing keys via env only.,Must,13,Sukhan,To Do,,Blockchain + Migration
M-006,Microservices Refactor,"Build lightweight API Gateway (routing, auth, rate limiting)",Single gateway entry for all public routes.,Single entry Express app that proxies to internal services (or uses HTTP calls),Tasin: gateway Express app; proxy http-proxy-middleware or undici; central auth middleware decoding JWT or validating session cookie with auth service.,Must,8,Tasin,To Do,,Backend
M-007,Microservices Refactor,Implement Redis Pub/Sub for inter-service events (donation.created → update cause + ledger + broadcast),Redis pub/sub between services for domain events.,Add Redis container + event listeners in services,Sukhan: docker-compose redis; small event schema JSON; publishers on donate/disburse; subscribers update projections; local dev script.,Must,5,Sukhan,To Do,,DevOps
C-001,Capstone Polish,Set up Jest + Supertest unit/integration tests for all services,Automated tests cover critical API paths.,"Cover auth, donate, ledger flows","Tasin: vitest or jest + supertest; spin test sqlite; tests for login, donate happy path, ledger list shape, 403 admin. Run in CI.",Must,5,Tasin,To Do,,Backend
C-002,Capstone Polish,Add Playwright E2E tests (auth → donate → ledger visibility),E2E covers donor journey visible in ledger.,Critical user journeys,Haha: Playwright config; seed or use demo123; test login → donate → expect ledger row text. CI artifact on failure.,Must,8,Haha,To Do,,Frontend
C-003,Capstone Polish,Docker Compose v2 multi-container setup (gateway + 6 services + anvil + redis + postgres optional),One docker compose brings up full microservice dev stack.,One-command local dev with all microservices,"Sukhan: compose services for gateway, auth, users, causes, ledger, chain, redis, anvil; shared network; volume for sqlite; README docker compose up; healthchecks.",Must,13,Sukhan,To Do,,DevOps
C-004,Capstone Polish,GitHub Actions CI/CD pipeline (lint → test → build → Docker),"CI on GitHub Actions: lint, test, build, optional docker build.",On push/PR to main,Sukhan: workflow yaml; cache npm; matrix Node 20; fail on lint/test; docker build only on main optional.,Must,5,Sukhan,To Do,,DevOps
C-005,Capstone Polish,Update all architecture diagrams (Mermaid) + OpenAPI/Swagger per service,Architecture docs match microservices target + OpenAPI stubs.,New microservices architecture.md + ADR folder,Sukhan: update docs/ARCHITECTURE.md with C4 containers; add /docs/openapi per service YAML stubs; ADR folder for major decisions.,Must,3,Sukhan,To Do,,Documentation
C-006,Capstone Polish,Winston structured logging + basic Prometheus /metrics endpoint,Structured logs and /metrics for basic observability.,Observability foundation,Tasin: winston JSON logs; prom-client /metrics with http_request_duration histogram; do not expose sensitive labels.,Should,3,Tasin,To Do,,Backend
C-007,Capstone Polish,Update README + deploy live demo (Railway/Render) + 2-minute video walkthrough,Shipped demo: hosted URL + short video for submission.,Final capstone package,Haha: deploy frontend static + backend (Render/Railway) per course rules; env vars; smoke test prod. Record 2-min Loom or MP4 walking demo script in docs/DEMO.md.,Must,5,Haha,To Do,,Frontend + Docs
F-016,Homepage & Brand,As a first-time visitor I understand Vaultex mission and trust model within one scroll,"Homepage communicates vision, how it works, and CTAs without relying on fake metrics.","Hero + narrative + How it works strip + primary CTAs (Causes, Ledger); portfolio-level typography",Refactor HomePage: compelling headline + 2–3 sentences on transparent giving; subtext on limitations (local chain demo). Add How it works (3 steps: donate → vault → disburse). Two CTAs to /causes and /ledger. Reduce decorative gradients per design direction; optional subtle motion; responsive. Reference docs/DEMO.md tone.,Must,5,Haha,To Do,,Align copy with docs/PRIVACY.md
F-017,UI System,As a user I experience consistent glass surfaces and a restrained palette,Shared design tokens for glass panels and borders; phase out heavy multi-stop gradients.,"CSS variables or Tailwind @theme for glass (blur, border, shadow); apply to Layout, cards, ledger","Define --glass-bg, --glass-border, elevation levels; document in frontend README snippet. Refactor Layout header and SurfaceCard patterns. Verify WCAG contrast in dark and light theme; respect prefers-reduced-motion.",Should,3,Haha,To Do,,
T-001,Transparency Journey,As a visitor I can resolve a transaction hash into a masked timeline of fund movement,Backend returns ordered steps for a tx merging DB ledger + optional RPC metadata.,GET /api/journey/:txHash — validate hash; return steps JSON; rate limit; never leak raw addresses to anonymous users,"Implement route under /api/journey/:txHash. Validate 0x + 64 hex. Lookup ledger by tx_hash; optionally fetch getTransaction + receipt from JsonRpcProvider. Response shape: { steps: [{ phase, label, fromMasked, toMasked, status, at }] }. Use maskAddr. Add express-rate-limit per IP. 404 if unknown. Document for Haha.",Must,5,Tasin,To Do,,Pairs with T-002
T-002,Transparency Journey,As a visitor I can search a tx hash and view the Life Journey timeline page,Search input + /journey/:txHash page consuming T-001 API with loading and error states.,Global or ledger search bar; timeline UI; deep linkable route,"Add hash input (validate client-side). Navigate to /journey/:txHash. Fetch GET /api/journey/:txHash. Render vertical timeline with masked labels and timestamps. States: loading, invalid hash, not found, partial data. Add link from Ledger row tx hash. Coordinate API contract with Tasin.",Must,5,Haha,To Do,,Depends on T-001
T-003,Privacy & Security,As a privacy-conscious visitor I never see raw wallet addresses on public API responses unless policy says so,Audit and tighten all unauthenticated JSON that exposes 0x addresses; document exceptions.,grep app.ts public routes; mask or remove raw from/to where appropriate; document /api/config decision,"Audit GET /ledger, /overview, /config, any public route. Decide policy for superRichAddress. Add tests asserting anonymous GET bodies do not contain 42-char 0x addresses except documented fields. Update docs/PRIVACY.md to match implementation.",Must,3,Tasin,To Do,,Cross-check with Haha display helpers
B-001,Blockchain,As a developer I can forge build and deploy contracts from this repository,"Root Foundry project under blockchain/ with src/, script/, foundry.toml aligned to OZ libs.",Restore or add Valutex/vault Solidity + Deploy.s.sol; document addresses in backend/.env.example,"Sukhan: add blockchain/foundry.toml, src/, script/; ensure forge build works; document anvil deploy commands in README and docs/ANVIL_STATE.md; output addresses to env vars for future Tasin integration. Keep lib/ as submodules or remappings.",Should,8,Sukhan,To Do,,Repo currently artifact-heavy; see root README blockchain note
T-004,Privacy & Security,As an operator I can require strong session secrets and safer cookies in production,SESSION_SECRET required when NODE_ENV=production; secure cookie flags behind HTTPS.,cookie-session: secure/sameSite policy by env; fail fast if production missing secret,Tasin: in app.ts read NODE_ENV; if production and !SESSION_SECRET exit 1. Set cookie secure true when behind HTTPS (env TRUST_PROXY or USE_HTTPS). Document in backend/.env.example and README. Coordinate with F-015 helmet.,Must,2,Tasin,To Do,,Complements F-015
T-005,Ops & Reliability,As DevOps I can probe readiness beyond liveness (DB + optional RPC),GET /ready returns 200 only when SQLite and optional Anvil RPC respond.,Add /ready route: pragma quick_check; optional eth_chainId fetch with timeout,"Tasin: implement GET /ready on root app next to /health. Check db.pragma('quick_check',1). Optionally ping ANVIL_RPC_URL with short timeout. Return JSON { db: ok, rpc: ok|skipped|fail }. Use for Docker/K8s readiness.",Should,2,Tasin,To Do,,Overlaps theme with C-006; keep /metrics separate
D-001,Documentation,As a marker I can open docs/FEATURES.md for a complete feature inventory,Single maintained list of shipped vs planned features aligned with codebase.,Add docs/FEATURES.md generated from code audit; link from README,"Sukhan: add docs/FEATURES.md with sections Current API routes, Current UI routes, Data model, Chain behavior, Known gaps. Link from README Documentation table. Update when major PRs merge.",Could,2,Sukhan,Done,,Created docs/FEATURES.md + docs/README.md link; extend as code evolves
F-018,Privacy UX,As a visitor I understand why addresses are masked and what a tx hash means,In-app glossary or help modal defines masking; vault; disbursement; tx hash without legal overclaim.,Tooltip component + /glossary or modal route linked from footer,Haha: add /glossary page or Help modal with 6–8 terms (tx hash; vault; beneficiary; donation_in; disbursement; Anvil demo). Link from Layout footer. Short copy aligned with docs/PRIVACY.md. Optional: first-run dismissible coachmark on Ledger.,Should,3,Haha,To Do,,Pairs with T-003 masking work
